Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
26,13517650,"Tim Nst","2025-03-31 14:20:39",0.81155,23,timnst
27,13577595,Smirnov_Igor,"2025-04-15 19:27:20",0.81131,63,mulderpz
28,13618227,Diana,"2025-04-09 19:48:56",0.81131,30,dianaigorevna
29,13320873,"Андрей Перевера","2025-02-27 15:31:05",0.81108,31,nogavsmetane
30,13420597,Makabakaaa,"2025-03-07 15:52:00",0.81108,23,makabakaaa
31,12725225,"Echoes of Distress","2025-03-25 17:35:10",0.81108,1,"isaacnielsen,rebeccalamoreaux,samuelwiser"
32,13599974,"Nikhitha Rachapalli","2025-04-10 16:05:31",0.81108,34,nikhitharachapalli
33,13481517,"ZUBAYER ISFAR","2025-03-17 14:13:20",0.81084,29,jubayerisfar
34,13086804,"Thomas Zengerle","2025-02-23 13:09:10",0.81061,9,thomaszengerle
35,13354977,juju,"2025-03-25 13:17:19",0.81061,7,julijab
36,13310054,"Picasso Baby","2025-02-21 16:22:25",0.81038,12,picassobaby
37,13430884,DoraaaC,"2025-03-07 12:50:11",0.81038,22,doraaac
38,13422503,"Rodrigo Pascual","2025-03-07 18:53:44",0.81038,15,rodrigopascualgarcia
39,13599297,"Andrew Moffat","2025-04-02 22:33:32",0.81038,5,andrewmoffat4423432
40,13617919,Igor_Vad,"2025-04-07 18:45:54",0.81038,19,igorvad
41,13338758,"Rares Meirosu","2025-02-18 02:12:31",0.81014,4,raresmei
42,13665211,"HARSH TheMan","2025-04-16 08:31:35",0.81014,4,harshtheman
43,9034101,"Vecheslav Eremeev","2025-04-16 01:22:20",0.80991,444,lorddiablo74
44,13576695,"Kenta Naruse Yeah","2025-03-31 03:20:23",0.80991,13,kentanaruseyeah
45,13141886,"Pranjal Pravesh","2025-03-22 19:53:24",0.80967,6,pranjalxpravesh
46,8432050,"Daniel du Preez","2025-03-08 10:50:46",0.80944,8,drakendan
47,13403348,taeyeon112,"2025-03-04 01:14:32",0.80944,1,taeyeon112
48,13443529,"Medhansh Purwar","2025-03-05 17:14:12",0.80944,4,medhanshpurwar
49,13260127,SebasKHE,"2025-03-07 21:42:42",0.80944,4,sebaskhe
50,13427878,derK8,"2025-03-15 01:36:30",0.80944,14,danieldomurad
51,11129497,ikazman,"2025-03-28 14:35:32",0.80944,21,ikazman
52,13647034,choseoyeon,"2025-04-10 07:01:32",0.80944,1,choseoyeon
53,13521715,swdtk157ac,"2025-04-14 06:20:35",0.80944,28,swdtk157ac
54,13516399,Dharshan,"2025-03-20 12:47:31",0.80921,7,hdharshan
55,13554593,zpyzeal,"2025-03-31 05:46:00",0.80921,22,zpyzeal
56,13378142,"Albert Sirius","2025-02-21 12:50:39",0.80897,16,albertsirius
57,13537368,"Haze Jeon","2025-03-24 17:07:48",0.80897,15,hazejeon
58,13533265,haestle,"2025-03-28 12:45:26",0.80897,55,haestle
59,13536949,"suncastle jeon","2025-03-24 09:31:38",0.80897,25,suncastlejeon
60,13477141,AlynnKim,"2025-03-25 14:20:37",0.80897,7,alynnkim
61,13185997,serjshul,"2025-02-15 18:45:08",0.80874,2,serjshul
62,13349560,Tanisha_Jain28,"2025-02-16 07:40:39",0.80874,1,tanishajain28
63,11835493,Yaroslav53,"2025-02-26 11:58:37",0.80874,37,yaroslav53
64,13348451,PawelPitera,"2025-03-02 23:43:23",0.80874,38,pawelpitera
65,13432419,"SUBASHRE NARAYANAN.J","2025-03-03 18:08:32",0.80874,1,subashrenarayananj
66,12742087,"Nursultan Nurtay","2025-03-09 21:41:04",0.80874,1,nursultannurtay
67,13466698,Keith,"2025-03-10 10:14:22",0.80874,1,zaiwubian
68,13459549,kaguo,"2025-03-20 11:09:42",0.80874,4,kebaka
69,13353974,"Andrei Khromykh","2025-03-20 10:38:08",0.80874,4,andreikhromykh
70,13522902,ArnaudoB,"2025-03-22 12:45:50",0.80874,9,baptistearnaudo
71,13545730,"Choi seo woo","2025-03-25 10:07:40",0.80874,3,choiseou
72,13236010,"Ilia Loginov","2025-02-28 17:21:44",0.80851,8,despair101
73,13424997,"Wayne #2","2025-03-02 13:58:51",0.80851,5,ty784562
74,13428361,"Ignacio Azua","2025-03-04 15:06:12",0.80851,10,ignacioazua
75,13431702,"Simone Baglivi","2025-03-04 16:21:11",0.80851,9,simonebaglivi
76,13419573,laicailaicailai,"2025-04-09 08:52:47",0.80851,25,"bendan007,sherryzhangsr,yeeewang,yinuochen271"
77,13420451,Tien,"2025-03-05 07:48:28",0.80851,19,ty540188512
78,13447164,"Ethan Ellis","2025-03-08 02:22:02",0.80851,14,ethanellis7071
79,13648335,"Anshul Sharma 12405865","2025-04-16 06:13:30",0.80851,2,anshul09090
80,13395288,vekosek3000,"2025-02-24 19:32:33",0.80827,1,vekosek
81,13417006,"Pawel Rainer","2025-03-01 00:30:47",0.80827,19,pawelrainer
82,8978807,MarkDjadchenko,"2025-04-16 17:10:18",0.80827,146,markdjadchenko
83,13535568,aimarkaka,"2025-03-23 16:21:17",0.80827,9,aimarkaka
84,13550701,"Gaurav Verma 1412","2025-03-25 08:36:04",0.80827,10,gauravverma1412
85,13500206,littleGreenLeave,"2025-03-15 15:34:56",0.80804,1,littlegreenleave
86,13521955,"Priyanka Dash09","2025-03-19 18:08:39",0.80804,1,priyankadash09
87,13154827,"Kajal Yadav","2025-03-26 17:23:43",0.80804,5,kajuuu30
88,13278811,"Robin Hamers","2025-04-01 07:45:13",0.80804,1,robinhamers
89,13616813,Лизинг,"2025-04-05 16:02:23",0.80804,10,leassee
90,13659045,Cicio-Giselle,"2025-04-12 03:01:57",0.80804,1,ciciogiselle
91,13221776,"Arman Xachatryan","2025-03-02 08:11:29",0.80780,7,armanxachatryan
92,13629167,"Yidan TIAN","2025-04-08 19:59:28",0.80780,20,yidantian
93,13636146,"Zayed Ahmed","2025-04-09 18:11:42",0.80780,8,zayed2
94,13327019,Sanskar291202,"2025-02-28 11:28:06",0.80757,8,sanskar291202
95,13303539,"Nicolas Copernic 777","2025-02-21 15:28:59",0.80757,9,nicolascopernic777
96,13218323,Mrshk,"2025-03-17 13:49:02",0.80757,26,meershoek
97,13384171,"Florin Tirziu","2025-03-08 16:58:23",0.80757,30,florintirziu
98,13514611,"Trần Hải","2025-03-23 01:15:09",0.80757,25,cryandrrich
99,13496335,"Abhinav Akkiraju","2025-04-07 19:38:37",0.80757,61,abhinavakkiraju
100,12449660,"Fernando Meneses","2025-04-16 14:29:39",0.80757,195,fertmeneses
101,13556170,Hqqqzz,"2025-04-04 08:17:03",0.80757,9,hqqqzz
102,13619104,"Abdulrahman Qadeer","2025-04-13 02:55:51",0.80757,76,abdulrahmanqadeer
103,13362837,"PAVAN BABU BHEESETTI","2025-02-19 00:52:43",0.80734,1,pavanbabubheesetti
104,13371618,"Youssef Ahmed Aziz","2025-02-19 19:46:38",0.80734,1,youssefahmedaziz
105,13314647,"Milda G","2025-02-24 16:04:06",0.80734,22,mildag
106,13395762,"Tahsin Islam","2025-02-24 17:36:33",0.80734,1,tahsinrayshad
107,10525484,XiaoBaiXiong,"2025-03-01 06:15:59",0.80734,1,xiaobaixiong
108,13480703,"Treacy, Keagan","2025-03-12 01:52:18",0.80734,2,treacykeagan
109,13489526,"mohamed test","2025-03-13 14:20:59",0.80734,1,mohamedtest
110,13577730,QJShen,"2025-04-02 16:00:12",0.80734,10,qjshen
111,13555731,dogthinker,"2025-04-03 08:41:38",0.80734,8,dogthinker
112,13425045,Azzmi,"2025-04-05 06:16:02",0.80734,24,azmibazeid
113,13626556,"Andrei Paulavets","2025-04-07 11:00:37",0.80734,1,andreipaulavets
114,13629598,Xyq,"2025-04-08 00:12:34",0.80734,3,jaqwongxqq
115,13619820,"Виктор Смирнов","2025-04-08 11:41:10",0.80734,13,victorvsmirnov
116,13458405,"Daniil Klochkov","2025-03-09 20:50:53",0.80710,18,"daniilklochkov,sudakovcom,yusupovs"
117,13492416,"Kirill Izm","2025-03-14 12:13:32",0.80710,7,kirillizm
118,13507498,"banana koki","2025-03-18 03:26:52",0.80710,3,bananakoki
119,13562534,YCHBERT,"2025-03-27 09:54:56",0.80710,2,ychbert
120,13576219,Hyun0802,"2025-03-30 09:30:06",0.80710,10,hyun0802
121,13460665,TheMa123123,"2025-03-30 15:25:38",0.80710,4,thema123123
122,13623708,SpringFlower2,"2025-04-07 01:23:59",0.80710,6,springflower2
123,13636612,"Qing Zhang","2025-04-09 16:25:23",0.80710,7,qingzhangtitus
124,13600837,"and the","2025-04-13 11:01:42",0.80710,1,andthe
125,13671810,"Juan Luis Carrasco Merchán","2025-04-15 23:53:51",0.80710,4,jlcarrasco
126,11735844,"Laurent B","2025-02-16 10:26:10",0.80687,1,"cqfd75,desplanchesmanu"
127,13310701,Leonardosor,"2025-03-30 02:51:22",0.80687,33,leonardocedeno
128,13076871,"yoshikazu konishi","2025-02-26 04:51:35",0.80687,36,"kazunorinakashita,masayayamamoto2024,ozoz7373,shuji27,taikikibe,yoshikazukonishi"
129,13027930,amira_mohammedi07,"2025-03-01 11:29:26",0.80687,20,amiramohammedi07
130,9340264,yeppie,"2025-03-19 13:05:56",0.80687,1,yeppie
131,13553482,"[Deleted] bb556b87-6459-49fb-a0a6-fb390318c157","2025-03-28 07:41:45",0.80687,18,del=0a194c7e85c02409
132,13599119,RobbieCollis,"2025-04-03 01:06:55",0.80687,1,robbiecollis
133,13606292,"Vaishnavi Venkat","2025-04-08 10:35:15",0.80687,32,vaishnavivenkat
134,13638650,Zhangyq,"2025-04-14 01:32:26",0.80687,14,zhangyongquan
135,13320203,"Konrad Lipiec","2025-02-16 16:31:43",0.80664,3,konradlipiec
136,11618897,"Yunbase is your need","2025-04-13 10:04:22",0.80664,10,yunsuxiaozi
137,10304485,"Soham Mirikar","2025-03-28 21:18:02",0.80664,1,sohammirikar
138,13633411,"El Psy Congroo (Steins)","2025-04-08 12:58:14",0.80664,8,elpsycongroosteins
139,13636930,"Lingyu Wang","2025-04-09 16:41:47",0.80664,4,lingyuwanggg
140,13679746,Richiii,"2025-04-16 11:01:16",0.80664,8,ricardobentzinger
141,13391468,oepfelcasper,"2025-02-28 20:03:43",0.80640,4,oepfelcasper
142,13393592,白夜,"2025-03-01 14:45:29",0.80640,5,extremelydarksun
143,13421015,yubyliu,"2025-03-01 12:19:47",0.80640,1,yubyliu
144,13398668,"Apsari Bahiyah","2025-03-08 09:35:39",0.80640,4,apsaribahiyah
145,13404873,"sehyeon cheon","2025-03-12 01:24:16",0.80640,30,sehyeoncheon
146,8829203,blueOrange,"2025-03-13 09:47:34",0.80640,4,blueorange
147,13239802,martynas.love,"2025-03-18 03:03:28",0.80640,46,martynaslove
148,13488896,dfdBasdf,"2025-03-14 07:59:44",0.80640,6,dfdbasdf
149,13354052,LIli,"2025-03-21 12:08:07",0.80640,66,"joeeeh,lili0827"
150,13422023,"Lee Chong Wei","2025-03-24 15:04:06",0.80640,16,leechongwei
151,13501381,YILUO_SJTUT,"2025-04-01 20:38:57",0.80640,21,yiluosjtut
152,13606742,1166194,"2025-04-04 14:46:07",0.80640,9,renolee123
153,13576107,"R Ajay Kumar12","2025-04-05 06:28:14",0.80640,11,rajaykumar12
154,13633244,vaishven,"2025-04-08 11:21:23",0.80640,10,vaishven
155,13332384,"Vusumzi Mbiyo","2025-02-17 04:24:38",0.80617,7,vusumzimbiyo
156,13391335,sspan0019,"2025-02-26 00:39:02",0.80617,22,sspan0019
157,8514032,Laszlo,"2025-02-28 17:10:07",0.80617,1,laszlore
158,13467024,"Essa Awan","2025-03-09 16:30:57",0.80617,1,essaawan
159,13480913,"Matthew Toner505","2025-03-12 11:41:58",0.80617,2,matthewtoner505
160,13465946,LUORUIXIANG,"2025-03-15 11:48:52",0.80617,34,luoruixiang
161,13233183,"Ana Chacon-Tanarro","2025-03-13 13:32:26",0.80617,1,anachacontanarro
162,13475332,ke1suke,"2025-03-15 03:47:25",0.80617,14,ke1suke
163,9963700,"Harshad Paymode","2025-04-03 14:00:16",0.80617,19,harshadpaymode
164,13605997,"Yipeng Liu_1019","2025-04-04 18:44:55",0.80617,1,yipengliu1019
165,13620775,"Denis Tsvetanov","2025-04-08 20:36:59",0.80617,2,denistsvetanov1
166,13631409,"Kai Mao","2025-04-09 05:53:27",0.80617,10,silencek
167,13598311,KK_Kai_11,"2025-04-09 06:41:38",0.80617,15,kkkkai11
168,13527495,"Monika Nema","2025-04-13 09:45:39",0.80617,1,monikanema
169,12484937,OvidijusTC,"2025-04-13 16:38:15",0.80617,1,ovidijustc
170,13636026,IbrahimNafea90,"2025-04-13 19:24:47",0.80617,1,ibrahimnafea90
171,12740858,"Eske Porsborg","2025-02-17 15:08:08",0.80593,1,eskeporsborg
172,10872011,dmitrenkoma,"2025-03-02 14:42:59",0.80593,3,dmitrenkoma
173,13508823,"Wong Chung Man","2025-03-23 01:47:22",0.80593,10,wongchungman
174,13544238,CtrlCDefeat,"2025-03-24 06:01:17",0.80593,1,ctrlcdefeat
175,13553092,nedankakon,"2025-03-25 17:32:31",0.80593,3,nedankakon
176,13553373,"Nabeel Chowdhury","2025-04-02 18:40:32",0.80593,4,nabizzle
177,13525421,"Gaspard Obert","2025-04-05 11:00:14",0.80593,18,gaspardobert
178,13633389,majasjs,"2025-04-12 06:59:43",0.80593,3,majasjs
179,13655549,"Zzzxxx Kooo","2025-04-14 08:52:12",0.80593,2,zzzxxxkooo
180,13631452,Bethyt,"2025-04-16 11:05:36",0.80593,5,bethyt
181,9881459,NaiNaiStudio,"2025-02-18 10:34:31",0.80570,24,nainaistudio
182,13355204,MuQingyu666,"2025-03-04 12:00:13",0.80570,9,muqingyu666
183,13378215,"Ahmet Kacmaz","2025-02-21 17:07:03",0.80570,3,ahmetkacmaz
184,13416412,"Maciej Gusta","2025-03-03 08:59:10",0.80570,10,maciejgusta06
185,13465360,"Michał Orlewski","2025-04-14 10:15:34",0.80570,31,michaorlewski
186,13485798,Dürümcüler,"2025-03-21 13:43:41",0.80570,1,"batuhangorkey,kebolover"
187,13176281,于tianyou,"2025-04-16 11:32:45",0.80570,16,yukio456
188,13609775,cartethyia,"2025-04-04 13:38:26",0.80570,3,cartethyia
189,13189791,"Karan Patel","2025-04-05 18:28:04",0.80570,3,thekapiswild
190,13617357,BowenZheng123,"2025-04-08 16:12:18",0.80570,20,bowenzheng123
191,13630547,"Ali Al-Ogaili","2025-04-09 02:08:21",0.80570,15,alialogaili
192,13608965,mohuifang,"2025-04-09 14:05:09",0.80570,3,mohuifang
193,13641088,Frinky525,"2025-04-09 14:53:04",0.80570,2,frinky525
194,13663279,"josue tostado","2025-04-13 06:45:24",0.80570,6,josuetostado
195,13662531,dekxrma,"2025-04-13 17:41:47",0.80570,1,dekxrma
196,13452616,miiito_310,"2025-04-16 13:45:38",0.80570,22,miiito310
197,13676005,FMTest,"2025-04-16 14:10:16",0.80570,20,fmtest
198,13485541,RodneyV,"2025-03-12 23:05:14",0.80547,2,mamkwebu
199,13493214,zhangqiang123,"2025-03-15 15:44:44",0.80547,2,zhangqiang123
200,13550159,"Jodel Munoz","2025-03-25 14:15:32",0.80547,6,jodelmunoz
201,13472165,Francisco_Cue11@r,"2025-03-30 03:54:27",0.80547,5,franciscocue11r
202,13636114,"Sruthi Chatrathi","2025-04-09 00:56:23",0.80547,3,sruthichatrathi91
203,13678795,jinyoungbin,"2025-04-16 03:44:34",0.80547,10,jinyoungbin
204,13679433,jinyoungbinn,"2025-04-16 05:59:37",0.80547,10,jinyoungbinn
205,13679812,asjdiajsd,"2025-04-16 06:41:20",0.80547,9,asjdiajsd
206,13423488,SeishinKato,"2025-03-02 20:59:51",0.80523,8,seishinkato
207,13410046,Margarita_Chutkina,"2025-03-02 13:55:51",0.80523,3,margaritachutkina
208,13457200,"Hermann Rösch","2025-03-07 18:40:29",0.80523,2,hermannrosch
209,13420586,MichałSzkolanek,"2025-03-20 12:59:21",0.80523,7,michaszkolanek
210,13551112,"Lukas Hamada","2025-03-28 07:55:35",0.80523,15,lukashamada
211,13564031,"Qu Ruichen","2025-03-27 15:43:47",0.80523,5,quruichen
212,13548339,"Tyler Donovan","2025-04-01 21:25:34",0.80523,9,tylerd123483
213,13126934,"Maryam shirani","2025-04-03 13:21:04",0.80523,1,maryamshirani
214,13628897,"Lizzy Lin","2025-04-07 18:57:07",0.80523,8,lizzylin
215,13299787,LaMachiiine,"2025-02-15 16:09:53",0.80500,2,lamachiiine
216,11969933,oujianyong,"2025-02-27 05:45:46",0.80500,5,oujianyong
217,13405339,"Siravit Keeratipranon","2025-02-27 16:16:21",0.80500,3,siravitkeeratipranon
218,13424354,"Zzishuo Wang","2025-03-02 06:56:48",0.80500,2,zzishuowang
219,13429235,OMGGGGGGGAGAG,"2025-03-03 18:54:04",0.80500,10,omgggggggagag
220,13481306,"Hansen Shim","2025-03-20 08:24:24",0.80500,17,hansenshim
221,13332721,"Surf Trade","2025-03-12 23:44:01",0.80500,21,surftrade
222,13477919,"Elena Teague","2025-03-13 01:40:48",0.80500,2,elenateague
223,13522692,"Michel Behlok","2025-03-19 20:11:06",0.80500,4,michelbehlok
224,13540956,"payal156 ","2025-03-25 16:30:07",0.80500,7,payal156
225,13570529,"Luis Enrique Garcia Gallegos","2025-03-31 00:24:18",0.80500,18,legg1234567890
226,13629975,meichiduochidian,"2025-04-08 02:08:24",0.80500,14,meichiduochidian
227,13636075,"Daniel RK Alexander","2025-04-09 00:15:03",0.80500,1,danielrkalexander
228,13636788,"Jonathan DharmaUSFCA","2025-04-09 01:22:12",0.80500,2,jonathandharmausfca
229,13629481,"Vitalii Kaplan","2025-04-09 06:08:49",0.80500,12,vitaliikaplan
230,13639939,"Krishnaveni Jothibasu","2025-04-09 13:39:13",0.80500,1,krishnavenijothibasu
231,13014582,Shivakumar_M_10,"2025-02-16 09:36:26",0.80476,1,shivakumarm10
232,13350414,"Krishil Parikh","2025-02-19 18:32:24",0.80476,13,krishilparikh
233,13351094,"Roland Marca","2025-02-26 06:01:26",0.80476,46,rolandmarca
234,12534322,Mario,"2025-03-30 11:00:16",0.80476,2,marioandreivoicu
235,13404632,"Codrut R","2025-03-07 14:51:34",0.80476,32,codrutr
236,13403376,"HUANG Ziqian111","2025-03-08 01:36:34",0.80476,6,huangziqian111
237,13471743,A.muk,"2025-03-10 16:06:29",0.80476,1,akihiromukae
238,13537825,"Kllaveya Jain","2025-03-28 11:32:23",0.80476,11,kllaveya
239,13576820,user_SH,"2025-03-30 13:14:58",0.80476,10,usersh
240,13543519,String6,"2025-04-04 03:15:21",0.80476,15,string6
241,13600969,ethantlee,"2025-04-04 19:38:42",0.80476,14,ethantlee
242,13616892,qfttxq,"2025-04-05 15:07:36",0.80476,2,qfttxq
243,13635532,Lannnnnnn03,"2025-04-08 21:05:56",0.80476,4,lannnnnnn03
244,13636751,"Yufeng Song","2025-04-09 04:23:05",0.80476,1,yufengsong
245,13400133,DostoevskyIdiot,"2025-02-26 04:14:18",0.80453,10,dostoevskyidiot
246,13428605,patrick123111,"2025-03-03 06:15:44",0.80453,4,patrick123111
247,13463868,rcusa,"2025-03-17 00:04:59",0.80453,43,rcamrod
248,10488069,"Jacob Alcumbrack","2025-03-13 14:27:26",0.80453,1,jacobalcumbrack
249,13550855,"gaurav verma","2025-03-28 07:55:15",0.80453,11,gauravverma99112
250,13357940,"Mikkel Bennett Sy","2025-04-02 03:42:24",0.80453,67,"mikkelbennettsy,nathanangping,seankendrickking"
251,13587852,蘇俊烋,"2025-04-07 06:47:16",0.80453,4,asdd3051
252,13606442,"Mustafa Al-Ogaili","2025-04-05 21:49:54",0.80453,7,mustafaalogaili
253,13615633,"kunal kumar","2025-04-05 10:35:40",0.80453,1,kunalkumar0011
254,13553483,Yamiko,"2025-04-11 23:51:23",0.80453,40,iyamiko
255,13677895,"Khaled Hassiba","2025-04-16 14:44:33",0.80453,14,khaledhassiba
256,13129387,"Stanisław Pruszek","2025-04-16 01:58:05",0.80453,18,stanisawpruszek
257,13675016,"Max Ermolaev","2025-04-16 13:22:27",0.80453,10,bamsimus
258,13361773,Yermukhamed,"2025-02-25 19:00:39",0.80430,10,yermukhamed
259,13285658,TristonMorgan,"2025-02-27 05:41:56",0.80430,1,tristonmorgan
260,13431919,"Влад Лунев","2025-03-04 14:33:05",0.80430,5,vlsoft
261,13437848,"Ivan Tishchenko","2025-03-05 07:58:55",0.80430,13,"ackrome,kvdep1"
262,13375013,"Catalin Nechifor","2025-03-06 09:46:02",0.80430,20,catalinnechifor
263,13438089,JohnnyJeon2004,"2025-03-05 16:47:17",0.80430,2,johnnyjeon2004
264,13442871,Wuzhichen,"2025-03-06 05:12:26",0.80430,1,wuzhichen
265,13460279,"[Deleted] f087a44e-1bb5-47b9-8a6e-c6164fc00397","2025-03-08 11:42:21",0.80430,6,del=9a53a5fe89698a0e
266,13405558,"Wooseok Peter Choi","2025-03-11 10:55:45",0.80430,26,wooseokpeterchoi
267,12822917,"Axel Højmark","2025-03-09 15:27:42",0.80430,5,axelhjmark
268,13234705,"Raffi Ardhi Naufal","2025-04-08 02:52:23",0.80430,8,raffiardhi
269,13487329,"ZHANG RUOSHUI","2025-03-18 05:35:38",0.80430,1,zhangruoshui
270,13531105,"SEELAM BHARGAV TEJA","2025-03-21 07:32:56",0.80430,1,seelambhargavteja
271,13475924,JaehyunL,"2025-03-31 05:10:59",0.80430,52,jaehyunl
272,13567039,"Charlie Angelo Codilla","2025-04-05 09:15:01",0.80430,20,charlieangelocodilla
273,13616556,"Kartik Agrawal 11","2025-04-05 14:17:49",0.80430,1,kartikagrawal11
274,13624422,RaymondHSIEH,"2025-04-07 15:39:10",0.80430,1,pawgbe
275,13634388,"victor gauthier","2025-04-08 15:41:49",0.80430,2,victorgauthier
276,13630012,"Lingxiao Zhong","2025-04-08 20:41:46",0.80430,1,zhonglx
277,13643707,"Ruyue Jiang","2025-04-11 04:48:40",0.80430,10,ruyuejiang
278,13677520,Voidmind,"2025-04-15 18:30:03",0.80430,7,neuralnetworksand
279,13352604,GargMadhav90,"2025-02-17 00:39:47",0.80406,2,madhavgarg90
280,10003944,Abstract00,"2025-03-11 06:06:32",0.80406,22,abstract00
281,13372306,"Andrius Dvaranauskas","2025-03-10 11:45:54",0.80406,4,andriusdvaranauskas
282,11432606,"Ivan Golovkin","2025-03-17 08:37:55",0.80406,23,ivangolovkin
283,13500449,"MR ANON1337","2025-03-15 16:29:07",0.80406,1,mranon1337
284,13509643,"Tkt Tran","2025-03-18 20:26:03",0.80406,1,tkttran
285,13501915,y_s,"2025-03-22 06:37:08",0.80406,4,kaaaamen
286,13536135,euni_cl,"2025-03-30 11:27:07",0.80406,16,eunicl
287,13475206,"Ramtin Karbaschi","2025-03-24 05:33:51",0.80406,2,ramtinkarbaschi
288,13585432,chenxu123456789,"2025-04-01 01:12:43",0.80406,1,chenxu123456
289,13585685,avsere,"2025-04-01 06:09:10",0.80406,3,avsere
290,13588586,hekaibin,"2025-04-01 08:55:55",0.80406,6,hekaibin
291,13591479,"William Nolan","2025-04-02 17:50:06",0.80406,11,williamnolan
292,13601700,steffan52,"2025-04-03 11:57:26",0.80406,8,steffan52
293,13610866,"Mehaan Jain","2025-04-04 16:36:57",0.80406,2,mehaanjain
294,13608458,msvzss,"2025-04-05 09:47:08",0.80406,1,msvzss
295,13012472,2024e_Ben,"2025-04-15 06:31:55",0.80406,2,hsiangchenghsu
296,13636744,"Jingqi Fan","2025-04-10 00:51:04",0.80406,6,jefffffffffffff
297,10762333,"Carol Matos","2025-04-14 04:03:26",0.80406,4,carol292
298,13610346,"Shwasa Iyer","2025-04-16 15:01:47",0.80406,10,shwasaiyer
299,13296212,"Deep Habiswashi","2025-02-18 13:11:39",0.80383,3,deephabiswashi2000
300,13325327,"gwoksing cin","2025-03-07 03:56:23",0.80383,5,gwoksingcin
301,13429151,"Ziwen Zhai","2025-03-09 05:28:12",0.80383,4,ziwenzhai
302,13471766,"Alejandro Jiménez González","2025-03-17 10:45:34",0.80383,1,alejimgon
303,13505980,"Oliver McKenna","2025-03-31 03:38:33",0.80383,5,olivermckenna
304,13513657,"william ku","2025-03-23 07:55:08",0.80383,6,williamku9
305,12659028,Manmanlaifanerkuai,"2025-03-24 17:33:10",0.80383,24,manmanlaifanerkuai
306,13543587,Junghyoungkyu,"2025-03-30 05:56:04",0.80383,3,junghyoungkyu
307,13598274,Jeremylzk,"2025-04-08 06:42:26",0.80383,11,jeremylzk
308,13587944,ANAFKH1231,"2025-04-03 05:55:13",0.80383,2,anafkh1231
309,13626004,"jiangyue qian","2025-04-07 08:53:14",0.80383,3,jiangyueqian
310,13637913,"Zitin Levoskii","2025-04-09 07:14:16",0.80383,1,zitinlevoskii
311,13338919,"Lin Htet Swe","2025-02-18 14:06:46",0.80360,29,linhtetswe
312,13400466,"Sahil Gupta 118","2025-02-25 16:07:54",0.80360,1,sahilgupta118
313,13400463,"Bhor Bisen","2025-02-25 16:08:39",0.80360,1,bhorbisen
314,13400479,"Ankeet Singh 01","2025-02-25 16:09:02",0.80360,1,ankeetsingh01
315,13400465,"Rampunit Kumar","2025-02-25 16:09:23",0.80360,1,rampunitkumar76
316,13400481,aman18013,"2025-02-25 16:09:27",0.80360,1,aman18013
317,13400478,"Arushi Sinha","2025-02-25 16:09:32",0.80360,1,myungheemin
318,13400483,AshiBhaSha,"2025-02-25 16:09:43",0.80360,1,ashibhasha
319,9256036,"Laksh Hariyani","2025-02-25 16:09:52",0.80360,1,lakshhariyani
320,13400487,"Homendra Dewangan","2025-02-25 16:11:30",0.80360,1,homendradewangan
